antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SKU_6328344'}),frozenset({'SKU_3998011'}),0.0069915343469654214,0.01781577728172514,0.0010108242429347598,0.14457831325301204,8.115184140818593,0.0008862646241516922,1.148187189938265
frozenset({'SKU_3998011'}),frozenset({'SKU_6328344'}),0.01781577728172514,0.0069915343469654214,0.0010108242429347598,0.05673758865248227,8.115184140818593,0.0008862646241516922,1.0527382981735178
frozenset({'SKU_3978011'}),"frozenset({'SKU_3898011', 'SKU_2726578'})",0.04217383369133359,0.0016566286203653006,0.0005615690238526443,0.013315579227696404,8.037757566182943,0.0004917026439290547,1.0118162913712627
"frozenset({'SKU_3898011', 'SKU_2726578'})",frozenset({'SKU_3978011'}),0.0016566286203653006,0.04217383369133359,0.0005615690238526443,0.3389830508474576,8.037757566182941,0.0004917026439290547,1.4490190721079825
frozenset({'SKU_1206132'}),frozenset({'SKU_8718362'}),0.004296003032472729,0.017296325934661443,0.0005896474750452766,0.13725490196078433,7.935494652406418,0.0005153424063793343,1.1390428949393696
frozenset({'SKU_8718362'}),frozenset({'SKU_1206132'}),0.017296325934661443,0.004296003032472729,0.0005896474750452766,0.034090909090909095,7.935494652406418,0.0005153424063793343,1.0308464909781458
frozenset({'SKU_3611367'}),frozenset({'SKU_2716578'}),0.006640553707057519,0.009911693270999172,0.000519451347063696,0.07822410147991544,7.892102725655661,0.0004536322155697454,1.0741095621165537
frozenset({'SKU_2716578'}),frozenset({'SKU_3611367'}),0.009911693270999172,0.006640553707057519,0.000519451347063696,0.05240793201133145,7.89210272565566,0.0004536322155697454,1.0482986084944954
frozenset({'SKU_1832285'}),frozenset({'SKU_4992993'}),0.021662525095115754,0.011736792598520266,0.0019935700346768873,0.09202851587815943,7.841027700341408,0.0017393214704752732,1.0884297851680822
frozenset({'SKU_4992993'}),frozenset({'SKU_1832285'}),0.011736792598520266,0.021662525095115754,0.0019935700346768873,0.16985645933014354,7.841027700341408,0.0017393214704752732,1.1785160360525693
frozenset({'SKU_8618636'}),frozenset({'SKU_8718362'}),0.0061491808111864546,0.017296325934661443,0.0008283143101826503,0.13470319634703198,7.7879658868528745,0.0007219560746412035,1.1356839293947711
frozenset({'SKU_8718362'}),frozenset({'SKU_8618636'}),0.017296325934661443,0.0061491808111864546,0.0008283143101826503,0.04788961038961039,7.787965886852874,0.0007219560746412035,1.0438399055759746
frozenset({'SKU_2716578'}),frozenset({'SKU_3968011'}),0.009911693270999172,0.01861601314071516,0.0013898833340352946,0.14022662889518414,7.532581108276825,0.001205367121855636,1.14144496659416
frozenset({'SKU_3968011'}),frozenset({'SKU_2716578'}),0.01861601314071516,0.009911693270999172,0.0013898833340352946,0.0746606334841629,7.532581108276825,0.001205367121855636,1.0699731823330523
frozenset({'SKU_8798636'}),frozenset({'SKU_2783996'}),0.010009967850173385,0.02873829479565907,0.0021480015162363645,0.21458625525946703,7.46690980746291,0.001860332109263012,1.236624278233384
frozenset({'SKU_2783996'}),frozenset({'SKU_8798636'}),0.02873829479565907,0.010009967850173385,0.0021480015162363645,0.07474352711284807,7.46690980746291,0.001860332109263012,1.0699628277775581
frozenset({'SKU_3631365'}),frozenset({'SKU_2726578'}),0.00790408401072597,0.013463617346867147,0.0007440789566047536,0.09413854351687388,6.992069151369562,0.0006376613940068483,1.0890587910464975
frozenset({'SKU_2726578'}),frozenset({'SKU_3631365'}),0.013463617346867147,0.00790408401072597,0.0007440789566047536,0.05526590198123044,6.992069151369561,0.0006376613940068483,1.0501324320460417
frozenset({'SKU_3898011'}),frozenset({'SKU_2726578'}),0.018012326440073567,0.013463617346867147,0.0016566286203653006,0.09197194076383476,6.8311463698302255,0.0014141175496492923,1.0864602394368836
frozenset({'SKU_2726578'}),frozenset({'SKU_3898011'}),0.013463617346867147,0.018012326440073567,0.0016566286203653006,0.12304483837330553,6.8311463698302255,0.0014141175496492923,1.1197695350106651
frozenset({'SKU_4992993'}),frozenset({'SKU_3161221'}),0.011736792598520266,0.021072877620070478,0.0016847070715579329,0.14354066985645933,6.811631161362919,0.0014373790774771663,1.1429931205441635
frozenset({'SKU_3161221'}),frozenset({'SKU_4992993'}),0.021072877620070478,0.011736792598520266,0.0016847070715579329,0.07994670219853431,6.811631161362919,0.0014373790774771663,1.0741369111583063
frozenset({'SKU_4992993'}),frozenset({'SKU_1842285'}),0.011736792598520266,0.00703365202375437,0.0005615690238526443,0.04784688995215311,6.802567114574678,0.0004790165088396769,1.0428641544072128
